PSTAR: Stopping Powers and Range Tables for Protons
XENON                                                                  
MeV       MeV cm2/g MeV cm2/g MeV cm2/g          
KineticEnergy ElectronStopPow NucleaStopPow TotaStopPowl CSDARange ProjectedRange DetourFactor
1.000E-03 3.810E+01 1.604E+00 3.971E+01 4.404E-05 7.194E-06 0.1633
1.072E-03 3.945E+01 1.606E+00 4.105E+01 4.580E-05 7.633E-06 0.1666
1.149E-03 4.084E+01 1.607E+00 4.245E+01 4.763E-05 8.099E-06 0.1700
1.232E-03 4.228E+01 1.608E+00 4.389E+01 4.952E-05 8.595E-06 0.1735
1.320E-03 4.378E+01 1.608E+00 4.539E+01 5.150E-05 9.122E-06 0.1771
1.415E-03 4.532E+01 1.607E+00 4.693E+01 5.355E-05 9.685E-06 0.1809
1.500E-03 4.667E+01 1.606E+00 4.827E+01 5.533E-05 1.019E-05 0.1841
1.517E-03 4.692E+01 1.605E+00 4.853E+01 5.567E-05 1.029E-05 0.1847
1.626E-03 4.858E+01 1.603E+00 5.018E+01 5.788E-05 1.093E-05 0.1888
1.743E-03 5.030E+01 1.599E+00 5.190E+01 6.017E-05 1.161E-05 0.1929
1.868E-03 5.207E+01 1.594E+00 5.367E+01 6.255E-05 1.234E-05 0.1973
2.000E-03 5.388E+01 1.588E+00 5.547E+01 6.497E-05 1.310E-05 0.2016
2.002E-03 5.391E+01 1.588E+00 5.550E+01 6.501E-05 1.311E-05 0.2017
2.146E-03 5.582E+01 1.582E+00 5.740E+01 6.756E-05 1.394E-05 0.2063
2.300E-03 5.779E+01 1.574E+00 5.936E+01 7.021E-05 1.481E-05 0.2110
2.466E-03 5.983E+01 1.566E+00 6.140E+01 7.294E-05 1.575E-05 0.2159
2.500E-03 6.024E+01 1.564E+00 6.181E+01 7.350E-05 1.594E-05 0.2169
2.643E-03 6.194E+01 1.556E+00 6.350E+01 7.578E-05 1.674E-05 0.2209
2.833E-03 6.413E+01 1.545E+00 6.568E+01 7.872E-05 1.780E-05 0.2261
3.000E-03 6.599E+01 1.536E+00 6.753E+01 8.123E-05 1.872E-05 0.2305
3.037E-03 6.640E+01 1.534E+00 6.793E+01 8.177E-05 1.892E-05 0.2314
3.255E-03 6.874E+01 1.521E+00 7.026E+01 8.493E-05 2.012E-05 0.2369
3.489E-03 7.117E+01 1.508E+00 7.268E+01 8.821E-05 2.140E-05 0.2426
3.740E-03 7.369E+01 1.493E+00 7.518E+01 9.160E-05 2.275E-05 0.2484
4.000E-03 7.620E+01 1.478E+00 7.768E+01 9.500E-05 2.415E-05 0.2542
4.009E-03 7.629E+01 1.478E+00 7.777E+01 9.512E-05 2.420E-05 0.2544
4.297E-03 7.898E+01 1.461E+00 8.044E+01 9.876E-05 2.573E-05 0.2606
4.606E-03 8.177E+01 1.444E+00 8.322E+01 1.025E-04 2.737E-05 0.2669
4.937E-03 8.466E+01 1.425E+00 8.609E+01 1.064E-04 2.911E-05 0.2734
5.000E-03 8.520E+01 1.422E+00 8.662E+01 1.072E-04 2.943E-05 0.2746
5.292E-03 8.765E+01 1.406E+00 8.906E+01 1.105E-04 3.095E-05 0.2801
5.672E-03 9.075E+01 1.386E+00 9.213E+01 1.147E-04 3.292E-05 0.2870
